timestamp,owner,repo,kind,severity,title,action,state,url,details
2026-04-24T17:44:57.834619+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/77,
2026-04-24T17:44:57.834714+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/76,
2026-04-24T17:44:57.834809+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/75,
2026-04-24T17:44:57.834904+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/74,
2026-04-24T17:44:57.834998+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/73,
2026-04-24T17:44:57.835093+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/72,
2026-04-24T17:44:57.835188+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/71,
2026-04-24T17:44:57.835282+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/70,
2026-04-24T17:44:57.835380+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/69,
2026-04-24T17:44:57.835475+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/68,
2026-04-24T17:44:57.835571+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/67,
2026-04-24T17:44:57.835666+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/66,
2026-04-24T17:44:57.835760+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/60,
2026-04-24T17:44:57.835855+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/59,
2026-04-24T17:44:57.835950+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/58,
2026-04-24T17:44:57.836044+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/57,
2026-04-24T17:44:57.836138+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/56,
2026-04-24T17:44:57.836233+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/55,
2026-04-24T17:44:57.836327+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/54,
2026-04-24T17:44:57.836423+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/53,
2026-04-24T17:44:57.836518+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/52,
2026-04-24T17:44:57.836613+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/51,
2026-04-24T17:44:57.836707+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/50,
2026-04-24T17:44:57.836805+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/49,
